graph6 string,levelable,minimized solution
HCQbvbk,F,NA
HCQbvb[,F,NA
HCQbva{,F,NA
HCQbv`{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
HCQbv`y,F,NA
HCQbvbe,F,NA
HCQbvau,F,NA
HCQbv`u,F,NA
HCQbv`m,F,NA
HCQbv`],F,NA
HCQbv_},F,NA
HCQbvbp,F,NA
HCQbvax,F,NA
HCQbvbd,F,NA
HCQbvbT,F,NA
HCQbvat,F,NA
HCQbv`t,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
HCQbvbL,F,NA
HCQbval,F,NA
HCQbva\,F,NA
HCQbv_|,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
HCQbvbb,F,NA
HCQbvbR,F,NA
HCQbvar,F,NA
HCQbv`r,F,NA
HCQbvbJ,F,NA
HCQbvaj,F,NA
HCQbv`j,F,NA
HCQbvaZ,F,NA
HCQbv`Z,F,NA
HCQbv_z,F,NA
HCQbvbF,F,NA
HCQbvaf,F,NA
HCQbv`f,F,NA
HCQbvaV,F,NA
HCQbv`V,F,NA
HCQbv_v,F,NA
HCQbvaN,F,NA
HCQbv`N,F,NA
HCQbv_n,F,NA
HCQbv_^,F,NA
HCQbvb{,F,NA
HCQbvby,F,NA
HCQbvbu,F,NA
HCQbvbm,F,NA
HCQbvb],F,NA
HCQbva},F,NA
HCQbv`},F,NA
HCQbvbx,F,NA
HCQbvbt,F,NA
HCQbvbl,F,NA
HCQbvb\,F,NA
HCQbva|,F,NA
HCQbv`|,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
HCQbvbr,F,NA
HCQbvbj,F,NA
HCQbvbZ,F,NA
HCQbvaz,F,NA
HCQbv`z,F,NA
HCQbvbf,F,NA
HCQbvbV,F,NA
HCQbvav,F,NA
HCQbv`v,F,NA
HCQbvbN,F,NA
HCQbvan,F,NA
HCQbv`n,F,NA
HCQbva^,F,NA
HCQbv`^,F,NA
HCQbv_~,F,NA
HCQbvb},F,NA
HCQbvb|,F,NA
HCQbvbz,F,NA
HCQbvbv,F,NA
HCQbvbn,F,NA
HCQbvb^,F,NA
HCQbva~,F,NA
HCQbv`~,F,NA
HCQbvb~,F,NA
HCQbvRw,T,"[4.0, 2.0, 2.0, 4.0, 2.0, 2.0, 3.0, 2.0, 2.0]"
HCQbvRs,F,NA
HCQbvRk,T,"[3.0, 2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 2.0, 2.0]"
HCQbvR[,F,NA
HCQbvP{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
HCQbvPy,T,"[3.0, 2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 2.0, 3.0]"
HCQbvPm,F,NA
HCQbvRp,F,NA
HCQbvRh,T,"[3.0, 2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 2.0, 2.0]"
HCQbvRX,F,NA
HCQbvRd,F,NA
HCQbvRT,T,"[3.0, 2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 2.0, 3.0]"
HCQbvQt,F,NA
HCQbvPt,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
HCQbvRL,F,NA
HCQbvPl,F,NA
HCQbvP\,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
HCQbvRb,F,NA
HCQbvRR,T,"[3.0, 2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 2.0, 3.0]"
HCQbvQr,T,"[3.0, 2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 2.0, 3.0]"
HCQbvPr,F,NA
HCQbvRJ,T,"[3.0, 2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 2.0, 2.0]"
HCQbvPj,F,NA
HCQbvPZ,F,NA
HCQbvRF,F,NA
HCQbvQf,T,"[3.0, 2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 2.0, 2.0]"
HCQbvPf,T,"[3.0, 2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 2.0, 2.0]"
HCQbvQV,T,"[3.0, 2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 2.0, 3.0]"
HCQbvPV,F,NA
HCQbvOv,T,"[3.0, 2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 2.0, 2.0]"
HCQbvPN,T,"[3.0, 2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 2.0, 2.0]"
HCQbvR{,T,"[3.0, 2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 2.0, 2.0]"
HCQbvRy,T,"[3.0, 2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 2.0, 3.0]"
HCQbvRu,T,"[3.0, 2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 2.0, 4.0]"
HCQbvRm,T,"[3.0, 2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 2.0, 2.0]"
HCQbvR],T,"[3.0, 2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 2.0, 4.0]"
HCQbvP},F,NA
HCQbvRx,T,"[3.0, 2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 2.0, 2.0]"
HCQbvRt,F,NA
HCQbvRl,T,"[3.0, 2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 2.0, 3.0]"
HCQbvR\,F,NA
HCQbvP|,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
HCQbvRr,T,"[3.0, 2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 2.0, 3.0]"
HCQbvRj,T,"[3.0, 2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 2.0, 2.0]"
HCQbvRZ,T,"[3.0, 2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 2.0, 4.0]"
HCQbvPz,F,NA
HCQbvRf,T,"[3.0, 2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 2.0, 2.0]"
HCQbvRV,T,"[3.0, 2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 2.0, 3.0]"
HCQbvQv,T,"[3.0, 2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 2.0, 4.0]"
HCQbvPv,T,"[3.0, 2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 2.0, 2.0]"
HCQbvRN,T,"[3.0, 2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 2.0, 2.0]"
HCQbvPn,T,"[3.0, 2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 2.0, 3.0]"
HCQbvP^,T,"[3.0, 2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 2.0, 2.0]"
HCQbvR},T,"[3.0, 2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 2.0, 4.0]"
HCQbvR|,T,"[3.0, 2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 2.0, 3.0]"
HCQbvRz,T,"[3.0, 2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 2.0, 4.0]"
HCQbvRv,T,"[3.0, 2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 2.0, 4.0]"
HCQbvRn,T,"[3.0, 2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 2.0, 3.0]"
HCQbvR^,T,"[3.0, 2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 2.0, 4.0]"
HCQbvP~,T,"[3.0, 2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 2.0, 3.0]"
HCQbvR~,T,"[3.0, 2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 2.0, 5.0]"
HCQburw,F,NA
HCQburs,F,NA
HCQburk,F,NA
HCQbur[,F,NA
HCQbup{,F,NA
HCQbupy,F,NA
HCQbup],F,NA
HCQburp,F,NA
HCQburX,F,NA
HCQburd,F,NA
HCQburT,F,NA
HCQbuqt,F,NA
HCQbupt,F,NA
HCQburL,F,NA
HCQbupl,F,NA
HCQburb,F,NA
HCQburR,F,NA
HCQbuqr,F,NA
HCQbupr,F,NA
HCQburJ,F,NA
HCQbupj,F,NA
HCQbupZ,F,NA
HCQburF,F,NA
HCQbuqf,F,NA
HCQbupf,F,NA
HCQbuqV,F,NA
HCQbupV,F,NA
HCQbuov,F,NA
HCQbupN,F,NA
HCQbur{,F,NA
HCQbury,F,NA
HCQburu,F,NA
HCQburm,F,NA
HCQbur],T,"[3.0, 2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 2.0, 3.0]"
HCQbup},F,NA
HCQburx,F,NA
HCQburt,F,NA
HCQburl,F,NA
HCQbur\,F,NA
HCQbup|,F,NA
HCQburr,F,NA
HCQburj,F,NA
HCQburZ,F,NA
HCQbupz,F,NA
HCQburf,F,NA
HCQburV,F,NA
HCQbuqv,F,NA
HCQbupv,F,NA
HCQburN,F,NA
HCQbupn,F,NA
HCQbup^,F,NA
HCQbur},F,NA
HCQbur|,F,NA
HCQburz,F,NA
HCQburv,F,NA
HCQburn,F,NA
HCQbur^,F,NA
HCQbup~,F,NA
HCQbur~,F,NA
HCQbrpw,T,"[3.0, 2.0, 3.0, 3.0, 2.0, 3.0, 2.0, 2.0, 2.0]"
HCQbrrw,T,"[3.0, 2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
HCQbrrs,F,NA
HCQbrrk,F,NA
HCQbrrq,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
HCQbrri,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
HCQbrrY,F,NA
HCQbrpy,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
HCQbrre,F,NA
HCQbrqu,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
HCQbrrM,T,"[2.0, 3.0, 2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 3.0]"
HCQbrrb,F,NA
HCQbrrR,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
HCQbrqr,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
HCQbrpr,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
HCQbrrJ,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
HCQbrpj,F,NA
HCQbrrF,F,NA
HCQbrqf,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
HCQbrr{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
HCQbrry,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
HCQbrru,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
HCQbrrm,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
HCQbrrr,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
HCQbrrj,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
HCQbrrZ,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
HCQbrpz,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
HCQbrrf,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
HCQbrqv,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
HCQbrrN,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
HCQbrr},T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
HCQbrrz,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
HCQbrrv,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
HCQbrrn,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
HCQbrr~,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0]"
HCQbvJg,T,"[3.0, 2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 2.0, 2.0]"
HCQbvJc,T,"[3.0, 2.0, 3.0, 3.0, 2.0, 3.0, 4.0, 2.0, 2.0]"
HCQbvJw,T,"[3.0, 2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 2.0, 2.0]"
HCQbvJs,F,NA
HCQbvJk,F,NA
HCQbvJ[,F,NA
HCQbvI{,F,NA
HCQbvH{,F,NA
HCQbvJq,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0]"
HCQbvHy,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0]"
HCQbvJe,F,NA
HCQbvHu,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0]"
HCQbvJd,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0]"
HCQbvJT,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0]"
HCQbvIt,F,NA
HCQbvIl,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0]"
HCQbvI\,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0]"
HCQbvJb,F,NA
HCQbvJR,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0]"
HCQbvIr,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0]"
HCQbvHr,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0]"
HCQbvJJ,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0]"
HCQbvIj,F,NA
HCQbvHj,F,NA
HCQbvIZ,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0]"
HCQbvHZ,F,NA
HCQbvGz,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0]"
HCQbvJF,F,NA
HCQbvIf,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0]"
HCQbvHf,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0]"
HCQbvIV,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0]"
HCQbvHV,F,NA
HCQbvGv,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0]"
HCQbvIN,F,NA
HCQbvHN,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0]"
HCQbvGn,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0]"
HCQbvG^,F,NA
HCQbvJ{,F,NA
HCQbvJy,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0]"
HCQbvJu,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0]"
HCQbvJm,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0]"
HCQbvJ],T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0]"
HCQbvI},T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0]"
HCQbvH},T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0]"
HCQbvJx,F,NA
HCQbvJt,F,NA
HCQbvJl,F,NA
HCQbvJ\,F,NA
HCQbvI|,F,NA
HCQbvH|,T,"[2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 3.0, 3.0, 2.0]"
HCQbvJr,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0]"
HCQbvJj,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0]"
HCQbvJZ,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0]"
HCQbvIz,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0]"
HCQbvHz,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0]"
HCQbvJf,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0]"
HCQbvJV,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0]"
HCQbvIv,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0]"
HCQbvHv,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0]"
HCQbvJN,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0]"
HCQbvIn,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0]"
HCQbvHn,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0]"
HCQbvI^,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0]"
HCQbvH^,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0]"
HCQbvG~,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0]"
HCQbvJ},T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0]"
HCQbvJ|,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0]"
HCQbvJz,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0]"
HCQbvJv,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0]"
HCQbvJn,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0]"
HCQbvJ^,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0]"
HCQbvI~,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0]"
HCQbvH~,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0]"
HCQbvJ~,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0]"
HCQbtis,F,NA
HCQbtjw,F,NA
HCQbtjs,F,NA
HCQbtjk,F,NA
HCQbtjq,F,NA
HCQbthy,F,NA
HCQbtiu,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0]"
HCQbtit,F,NA
HCQbtjb,F,NA
HCQbtjR,F,NA
HCQbtir,F,NA
HCQbthr,F,NA
HCQbtjJ,F,NA
HCQbthj,F,NA
HCQbtjF,F,NA
HCQbtif,F,NA
HCQbtj{,F,NA
HCQbtjy,F,NA
HCQbtju,F,NA
HCQbtjm,F,NA
HCQbtjx,F,NA
HCQbtjt,F,NA
HCQbtjl,F,NA
HCQbtjr,F,NA
HCQbtjj,F,NA
HCQbtjZ,F,NA
HCQbthz,F,NA
HCQbtjf,F,NA
HCQbtiv,F,NA
HCQbtjN,F,NA
HCQbtj},F,NA
HCQbtj|,F,NA
HCQbtjz,F,NA
HCQbtjv,F,NA
HCQbtjn,F,NA
HCQbtj~,F,NA
HCQbuZK,T,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 5.0, 2.0, 2.0]"
HCQbuZw,T,"[3.0, 2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 2.0, 2.0]"
HCQbuZs,F,NA
HCQbuZk,F,NA
HCQbuZi,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0]"
HCQbuZY,F,NA
HCQbuXy,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0]"
HCQbuZM,T,"[2.0, 3.0, 2.0, 2.0, 3.0, 2.0, 4.0, 2.0, 2.0]"
HCQbuZd,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0]"
HCQbuYt,F,NA
HCQbuZL,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0]"
HCQbuZb,F,NA
HCQbuZR,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0]"
HCQbuYr,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0]"
HCQbuXr,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0]"
HCQbuZJ,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0]"
HCQbuXj,F,NA
HCQbuZF,F,NA
HCQbuYf,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0]"
HCQbuZ{,T,"[3.0, 2.0, 3.0, 3.0, 2.0, 3.0, 4.0, 2.0, 2.0]"
HCQbuZy,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0]"
HCQbuZu,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0]"
HCQbuZm,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0]"
HCQbuZx,T,"[3.0, 3.0, 2.0, 3.0, 3.0, 2.0, 4.0, 3.0, 2.0]"
HCQbuZt,F,NA
HCQbuZl,F,NA
HCQbuZr,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0]"
HCQbuZj,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0]"
HCQbuZZ,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0]"
HCQbuXz,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0]"
HCQbuZf,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0]"
HCQbuYv,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0]"
HCQbuZN,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0]"
HCQbuZ},T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0]"
HCQbuZ|,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0]"
HCQbuZz,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0]"
HCQbuZv,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0]"
HCQbuZn,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0]"
HCQbuZ~,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0]"
HCQbvrw,T,"[4.0, 2.0, 2.0, 4.0, 2.0, 2.0, 3.0, 2.0, 2.0]"
HCQbvrs,F,NA
HCQbvrk,F,NA
HCQbvr[,F,NA
HCQbvp{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
HCQbvrq,T,"[3.0, 2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 2.0, 3.0]"
HCQbvri,F,NA
HCQbvrY,F,NA
HCQbvpy,T,"[3.0, 2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 2.0, 3.0]"
HCQbvre,F,NA
HCQbvrU,T,"[4.0, 2.0, 2.0, 4.0, 2.0, 2.0, 3.0, 3.0, 4.0]"
HCQbvqu,T,"[3.0, 2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 2.0, 4.0]"
HCQbvpu,F,NA
HCQbvrM,F,NA
HCQbvpm,F,NA
HCQbvp],F,NA
HCQbvr{,T,"[3.0, 2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 2.0, 2.0]"
HCQbvry,T,"[3.0, 2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 2.0, 3.0]"
HCQbvru,T,"[3.0, 2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 2.0, 4.0]"
HCQbvrm,F,NA
HCQbvr],T,"[3.0, 2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 2.0, 4.0]"
HCQbvp},F,NA
HCQbvrx,T,"[3.0, 2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 2.0, 2.0]"
HCQbvrt,F,NA
HCQbvrl,T,"[3.0, 2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 2.0, 3.0]"
HCQbvr\,F,NA
HCQbvp|,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
HCQbvr},T,"[3.0, 2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 2.0, 4.0]"
HCQbvr|,T,"[3.0, 2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 2.0, 3.0]"
HCQbvrz,T,"[3.0, 2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 2.0, 4.0]"
HCQbvrv,T,"[3.0, 2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 2.0, 4.0]"
HCQbvrn,T,"[3.0, 2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 2.0, 3.0]"
HCQbvr^,T,"[3.0, 2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 2.0, 4.0]"
HCQbvp~,T,"[3.0, 2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 2.0, 3.0]"
HCQbvr~,T,"[3.0, 2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 2.0, 5.0]"
HCQbvjs,F,NA
HCQbvi{,F,NA
HCQbvjq,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0]"
HCQbvji,F,NA
HCQbvjY,F,NA
HCQbviy,F,NA
HCQbvhy,F,NA
HCQbvje,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0]"
HCQbviu,F,NA
HCQbvjM,F,NA
HCQbvim,F,NA
HCQbvj{,F,NA
HCQbvjy,F,NA
HCQbvju,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0]"
HCQbvjm,F,NA
HCQbvi},F,NA
HCQbvjt,F,NA
HCQbvi|,F,NA
HCQbvj},F,NA
HCQbvj|,F,NA
HCQbvjz,F,NA
HCQbvjv,F,NA
HCQbvjn,F,NA
HCQbvi~,F,NA
HCQbvj~,F,NA
HCQbvZs,F,NA
HCQbvZk,F,NA
HCQbvZ[,F,NA
HCQbvZq,F,NA
HCQbvZi,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0]"
